Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.25,22.33,22.040001,22.15,55600,18.927853
2013-03-01,22.280001,22.76,21.040001,22.25,55200,19.013306
2013-02-01,22.790001,22.85,22.10,22.23,40100,18.918159
2013-01-02,22.200001,23.360001,22.190001,22.700001,40300,19.241419
2012-12-03,23.90,23.90,21.84,22.139999,50900,18.694025
2012-11-01,23.190001,25.299999,22.59,23.82,70300,20.032345
2012-10-01,23.290001,24.549999,22.690001,23.08,50800,19.33857
2012-09-04,22.799999,23.40,22.450001,23.16,49200,19.330868
2012-08-01,22.60,22.75,21.49,22.690001,65000,18.864323
2012-07-02,22.049999,23.549999,21.969999,22.50,58500,18.631901
2012-06-01,22.51,22.870001,21.51,22.00,58400,18.146713
2012-05-01,21.950001,22.51,21.639999,22.51,47900,18.491037
2012-04-02,21.870001,22.07,21.18,21.76,42900,17.801737
2012-03-01,21.43,21.99,20.08,21.799999,59700,17.760183
2012-02-01,21.40,22.16,21.190001,21.41,53100,17.364805
2012-01-03,20.879999,21.610001,20.610001,21.389999,49600,17.273956
2011-12-01,20.16,21.309999,20.049999,20.90,38500,16.804066
2011-11-01,19.67,20.459999,19.459999,20.08,38900,16.07023
2011-10-03,19.91,19.91,18.98,19.610001,35900,15.617316
2011-09-01,19.870001,20.00,19.32,19.74,32500,15.641834
2011-08-01,18.91,19.790001,18.10,19.790001,41900,15.604593
2011-07-01,19.469999,19.83,18.629999,18.76,33500,14.71659
2011-06-01,19.450001,19.709999,19.110001,19.389999,31900,15.13471
2011-05-02,18.549999,19.469999,18.530001,19.440001,38100,15.098219
2011-04-01,18.700001,18.82,18.10,18.530001,37400,14.314936
2011-03-01,18.379999,18.67,18.049999,18.629999,44900,14.311665
2011-02-01,18.040001,18.41,17.90,18.299999,60900,13.979633
2011-01-03,19.01,19.120001,17.389999,17.969999,92900,13.650107
2010-12-01,20.969999,20.969999,18.360001,19.09,102400,14.416673
2010-11-01,21.75,22.18,18.860001,20.790001,74000,15.511802
2010-10-01,21.629999,21.889999,21.25,21.700001,42300,16.108498
2010-09-01,21.77,22.16,21.09,21.540001,68200,15.913337
2010-08-02,21.120001,22.00,20.969999,21.700001,71600,15.95481
2010-07-01,20.25,21.10,20.110001,21.059999,61700,15.410381
2010-06-01,20.27,20.74,20.02,20.190001,55300,14.700647
2010-05-03,20.360001,21.299999,20.200001,20.35,50500,14.741367
2010-04-01,20.32,20.58,20.190001,20.290001,50800,14.626462
2010-03-01,20.17,20.68,19.959999,20.26,62300,14.531419
2010-02-01,19.940001,20.450001,19.709999,20.049999,67600,14.307577
2010-01-04,19.200001,20.00,19.139999,19.91,70500,14.135158
2009-12-01,19.120001,19.780001,19.10,19.17,48600,13.539632
2009-11-02,19.65,19.98,19.059999,19.139999,39600,13.393158
2009-10-01,19.950001,20.469999,19.42,19.65,72900,13.677063
2009-09-01,18.73,20.00,18.73,19.879999,65300,13.765604
2009-08-03,18.85,19.299999,17.940001,18.93,47200,13.040218
2009-07-01,18.700001,19.549999,18.00,18.85,22600,12.913395
2009-06-01,20.09,20.440001,17.34,18.60,38300,12.672468
2009-05-27,20.00,20.25,20.00,20.139999,000,13.721693
