Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.74,24.85,24.33,24.43,1370400,22.796698
2013-03-01,22.83,24.889999,22.66,24.84,695600,23.179287
2013-02-01,23.75,23.75,21.84,22.950001,893200,21.253063
2013-01-02,23.35,23.73,22.889999,23.57,623400,21.827219
2012-12-03,23.65,23.93,22.50,22.879999,543700,21.188238
2012-11-01,22.99,23.719999,21.459999,23.610001,646900,21.697712
2012-10-01,23.370001,23.84,22.299999,22.950001,416200,21.091169
2012-09-04,23.700001,24.24,23.030001,23.33,578400,21.44039
2012-08-01,21.200001,24.00,20.290001,23.68,714900,21.599167
2012-07-02,21.299999,21.950001,20.59,21.17,495000,19.309729
2012-06-01,19.99,21.360001,19.75,21.27,784500,19.40094
2012-05-01,23.190001,23.57,20.110001,20.23,845300,18.310114
2012-04-02,23.84,24.459999,22.459999,23.209999,577100,21.007301
2012-03-01,24.40,24.690001,23.629999,23.91,434900,21.640871
2012-02-01,24.200001,24.940001,22.50,24.34,481500,21.885366
2012-01-03,22.75,24.200001,22.280001,23.969999,480500,21.552679
2011-12-01,22.49,22.790001,21.60,22.549999,649200,20.275883
2011-11-01,21.68,23.139999,21.040001,22.57,861400,20.148586
2011-10-03,20.059999,23.02,19.01,22.25,800700,19.862917
2011-09-01,20.99,21.379999,19.530001,20.139999,1049000,17.979288
2011-08-01,23.24,23.32,19.530001,20.82,1329100,18.43853
2011-07-01,24.139999,24.84,22.91,23.059999,571000,20.42231
2011-06-01,22.870001,24.209999,21.719999,24.07,1106500,21.316782
2011-05-02,23.35,23.50,22.190001,22.879999,873300,20.123795
2011-04-01,22.719999,23.610001,22.549999,23.24,591000,20.440428
2011-03-01,23.02,23.50,20.969999,22.690001,803300,19.956684
2011-02-01,22.950001,23.440001,20.91,22.92,1154000,20.02153
2011-01-03,22.040001,23.360001,21.889999,22.889999,699700,19.995323
2010-12-01,20.85,22.73,20.82,21.93,692700,19.156725
2010-11-01,22.15,22.459999,20.540001,20.59,996000,17.864817
2010-10-01,23.00,23.25,20.57,22.00,1464200,19.088198
2010-09-01,21.59,23.200001,21.450001,22.870001,875100,19.84305
2010-08-02,20.469999,21.610001,19.639999,21.35,1205300,18.400404
2010-07-01,19.23,21.129999,18.75,20.299999,1075400,17.495464
2010-06-01,19.08,20.129999,18.51,19.049999,1648300,16.418158
2010-05-03,23.83,24.02,18.51,19.120001,2042800,16.361084
2010-04-01,21.40,24.00,21.07,23.809999,1130400,20.37434
2010-03-01,21.110001,22.559999,21.07,21.379999,972500,18.294977
2010-02-01,21.780001,23.27,20.73,21.040001,1104500,17.890499
2010-01-04,22.719999,23.08,21.610001,21.719999,536000,18.468708
2009-12-01,22.040001,23.120001,21.940001,22.559999,607700,19.182968
2009-11-02,20.860001,23.219999,20.639999,21.98,859700,18.575777
2009-10-01,20.09,22.379999,19.780001,20.809999,1025600,17.586985
2009-09-01,20.790001,21.85,19.879999,20.10,1330800,16.986948
2009-08-03,17.49,20.83,17.07,20.82,1140100,17.482489
2009-07-01,16.639999,17.719999,15.19,17.27,755600,14.501566
2009-06-01,16.73,17.969999,15.75,16.58,1182700,13.922174
2009-05-01,19.25,19.65,16.43,16.559999,1595900,13.849439
2009-04-01,18.360001,20.00,18.00,19.35,1586000,16.18277
2009-03-02,15.65,19.440001,15.13,18.610001,2180500,15.563893
2009-02-02,13.27,17.27,13.00,15.98,1928800,13.311191
2009-01-02,12.59,14.48,12.55,13.49,1140900,11.237043
2008-12-01,11.09,13.12,10.07,12.54,1105100,10.445703
2008-11-03,12.10,13.96,9.21,11.40,1067800,9.441607
2008-10-01,15.16,15.28,9.95,12.10,1223700,10.021356
2008-09-02,20.16,20.219999,14.53,15.39,1026700,12.74617
2008-08-01,20.940001,21.00,18.540001,19.969999,753300,16.477299
2008-07-01,20.790001,21.629999,19.41,20.700001,702000,17.079624
2008-06-02,22.450001,23.00,20.959999,21.049999,678800,17.36841
2008-05-01,18.629999,22.860001,18.190001,22.540001,899700,18.547686
2008-04-01,17.60,19.00,15.25,18.620001,887400,15.322001
2008-03-03,19.08,19.99,16.58,17.60,776500,14.482665
2008-02-01,22.209999,23.00,18.639999,19.15,997000,15.7077
2008-01-02,22.309999,24.00,20.59,21.66,1018900,17.766516
2007-12-03,22.48,24.209999,21.969999,22.43,839000,18.398106
2007-11-01,19.85,23.00,18.10,22.77,1364600,18.630219
2007-10-01,18.879999,20.030001,18.700001,20.00,400700,16.363829
2007-09-04,18.049999,19.440001,16.52,18.950001,748400,15.504727
2007-08-01,16.73,18.959999,15.27,18.17,1383700,14.814768
2007-07-02,19.23,20.50,17.51,17.59,1068500,14.341869
2007-06-01,20.309999,20.42,18.91,19.120001,1321300,15.589343
2007-05-01,19.959999,21.85,19.549999,20.24,1355400,16.451302
2007-04-02,19.700001,21.77,18.49,20.040001,3069300,16.28874
