Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,92.739998,92.809998,92.07,92.779999,5893200,80.895775
2013-03-01,91.690002,92.940002,90.040001,92.709999,5671100,80.83474
2013-02-01,88.919998,93.610001,86.800003,91.75,5294900,79.258522
2013-01-02,84.699997,90.290001,84.330002,88.160004,5299200,76.157295
2012-12-03,90.010002,90.489998,82.440002,83.639999,5621800,72.25267
2012-11-01,88.970001,90.839996,82.099998,89.879997,5636200,77.529686
2012-10-01,90.269997,94.129997,87.400002,88.559998,4677400,76.391068
2012-09-04,89.440002,92.589996,86.110001,89.940002,7341000,77.581444
2012-08-01,91.449997,93.599998,88.279999,89.300003,4236400,76.318703
2012-07-02,87.339996,91.809998,86.830002,91.440002,5020400,78.147621
2012-06-01,83.160004,88.93,81.099998,87.260002,6116800,74.575256
2012-05-01,89.309998,91.050003,83.779999,84.510002,5367400,71.578423
2012-04-02,88.860001,90.629997,86.099998,89.510002,5986800,75.813332
2012-03-01,83.50,88.860001,82.910004,88.610001,5701800,75.051048
2012-02-01,75.190002,84.300003,75.150002,83.519997,5556700,70.121986
2012-01-03,79.160004,79.959999,72.849998,74.769997,6496300,62.775635
2011-12-01,76.099998,79.419998,74.389999,78.480003,5658400,65.890495
2011-11-01,68.18,76.400002,67.75,76.239998,6738500,63.363007
2011-10-03,62.240002,72.489998,60.450001,69.870003,8807900,58.068909
2011-09-01,69.419998,70.07,62.32,62.380001,10880900,51.843975
2011-08-01,71.620003,71.660004,64.230003,69.32,10557700,56.928902
2011-07-01,66.660004,72.739998,66.169998,71.169998,6664000,58.448212
2011-06-01,71.699997,71.75,64.68,66.769997,7086900,54.834717
2011-05-02,69.809998,71.75,67.839996,71.75,6695500,58.37862
2011-04-01,65.870003,69.790001,64.489998,69.440002,6252400,56.499115
2011-03-01,63.060001,65.919998,61.349998,65.629997,7800900,53.399143
2011-02-01,57.52,63.119999,57.330002,62.779999,6327900,50.560955
2011-01-03,58.880001,58.990002,55.849998,57.240002,7481600,46.09922
2010-12-01,57.369999,60.139999,56.709999,58.529999,6115800,47.138142
2010-11-01,58.610001,60.869999,56.75,56.889999,7748700,45.325092
2010-10-01,56.040001,59.849998,55.099998,58.509998,7272200,46.615768
2010-09-01,51.880001,57.110001,51.880001,56.02,7577400,44.631954
2010-08-02,51.470001,53.240002,50.540001,51.360001,7312600,40.451946
2010-07-01,45.77,51.549999,45.549999,51.040001,7773700,40.199909
2010-06-01,43.77,47.080002,42.939999,45.84,11402800,36.104309
2010-05-03,49.32,49.75,42.970001,44.119999,12091400,34.314205
2010-04-01,52.240002,53.91,48.220001,49.080002,7335100,38.171833
2010-03-01,49.049999,53.07,48.790001,52.16,7472300,40.567295
2010-02-01,45.740002,50.41,45.009998,48.98,9261700,37.676311
2010-01-04,48.330002,50.200001,45.43,45.509998,7621800,35.007126
2009-12-01,48.529999,50.540001,48.119999,48.189999,8212400,37.06863
2009-11-02,47.380001,50.98,47.080002,48.09,8259000,36.559147
2009-10-01,48.68,52.349998,47.07,47.360001,8747300,36.004185
2009-09-01,45.669998,49.950001,45.00,48.740002,8108400,37.053291
2009-08-03,47.029999,47.889999,45.029999,45.709999,6997200,34.341816
2009-07-01,43.900002,48.630001,42.02,46.599998,7899500,35.010471
2009-06-01,42.68,45.439999,41.150002,43.619999,10566100,32.771606
2009-05-01,36.279999,43.700001,36.18,42.639999,9459300,31.624918
2009-04-01,35.220001,38.959999,35.150002,36.200001,10255700,26.848547
2009-03-02,32.790001,39.279999,32.040001,35.580002,13204600,26.388712
2009-02-02,36.68,38.709999,33.419998,33.470001,13896600,24.474333
2009-01-02,43.470001,45.02,36.990002,37.150002,11078100,27.165268
2008-12-01,40.91,44.50,39.00,43.509998,11018400,31.815901
2008-11-03,43.23,46.470001,36.00,42.16,12490300,30.433966
2008-10-01,47.959999,51.950001,33.299999,43.470001,15577200,31.379616
2008-09-02,53.75,55.73,46.799999,48.099998,12725900,34.721863
2008-08-01,51.75,56.259998,51.279999,53.700001,7408900,38.381084
2008-07-01,49.029999,54.43,48.73,51.650002,8968700,36.915882
2008-06-02,52.150002,52.75,48.529999,49.389999,9845700,35.300591
2008-05-01,50.830002,53.950001,50.400002,52.66,7419800,37.303333
2008-04-01,51.099998,52.43,47.43,51.029999,10846800,36.148674
2008-03-17,50.00,54.700001,46.900002,50.580002,7806400,35.829903
