Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.68,24.799999,24.18,24.24,714600,22.495794
2013-03-01,24.24,25.35,23.950001,24.799999,337500,23.015499
2013-02-01,23.870001,25.52,23.440001,24.459999,412000,22.591265
2013-01-02,21.34,24.459999,20.34,23.73,615400,21.917036
2012-12-03,20.43,21.459999,19.780001,21.08,436900,19.469496
2012-11-01,19.780001,20.860001,18.530001,20.290001,413700,18.630211
2012-10-01,18.879999,20.10,18.17,19.75,329400,18.134384
2012-09-04,17.34,19.879999,17.16,18.67,358100,17.142731
2012-08-01,17.58,18.129999,16.200001,17.32,377200,15.903165
2012-07-02,17.60,18.49,16.290001,17.440001,377400,15.903543
2012-06-01,16.60,17.620001,16.32,17.49,403000,15.949138
2012-05-01,18.10,18.60,16.48,16.90,374800,15.411117
2012-04-02,17.85,18.49,16.67,18.10,435300,16.401052
2012-03-01,17.01,18.280001,16.26,17.93,336800,16.247009
2012-02-01,15.72,17.870001,15.40,16.940001,446600,15.349936
2012-01-03,15.80,17.27,15.12,15.61,417200,14.055915
2011-12-01,15.02,16.110001,14.86,15.49,496600,13.947862
2011-11-01,14.11,15.07,12.96,15.07,678300,13.569676
2011-10-03,13.40,17.17,12.36,14.60,753700,13.03935
2011-09-01,16.23,16.389999,12.75,13.51,498400,12.065864
2011-08-01,17.32,17.33,12.42,16.15,1155200,14.423663
2011-07-01,19.91,20.809999,16.799999,17.139999,487600,15.193055
2011-06-01,20.809999,20.90,18.690001,19.860001,454200,17.60409
2011-05-02,23.74,23.76,19.940001,20.85,425600,18.481636
2011-04-01,22.790001,24.18,21.780001,23.59,381200,20.798195
2011-03-01,20.23,22.870001,19.190001,22.65,314900,19.96944
2011-02-01,20.07,21.120001,19.450001,20.129999,303900,17.747675
2011-01-03,19.879999,21.85,19.10,19.969999,385700,17.508348
2010-12-01,17.83,20.450001,17.77,19.690001,312600,17.262863
2010-11-01,17.709999,18.65,17.10,17.41,338800,15.263913
2010-10-01,19.200001,19.370001,17.15,17.60,476900,15.334106
2010-09-01,18.49,19.85,18.290001,19.01,365200,16.562578
2010-08-02,19.360001,19.66,16.870001,18.15,485500,15.813297
2010-07-01,17.10,19.59,16.50,18.969999,385700,16.427061
2010-06-01,20.58,21.799999,16.950001,17.02,483000,14.738461
2010-05-03,23.76,24.17,20.209999,20.629999,602700,17.864536
2010-04-01,19.65,24.26,19.50,23.74,850300,20.448765
2010-03-01,17.549999,20.50,17.549999,19.50,401700,16.796585
2010-02-01,16.629999,18.09,15.68,17.51,398500,15.082472
2010-01-04,18.879999,19.610001,16.43,16.530001,707200,14.150788
2009-12-01,19.00,20.709999,17.959999,18.709999,468800,16.017014
2009-11-02,18.83,20.059999,17.92,18.860001,520200,16.145424
2009-10-01,19.370001,23.34,18.290001,18.700001,674900,15.91548
2009-09-01,17.610001,21.48,16.93,19.41,422000,16.519756
2009-08-03,17.35,19.18,16.200001,17.639999,543900,15.013318
2009-07-01,13.35,17.99,12.89,17.17,517000,14.524149
2009-06-01,15.42,17.799999,13.20,13.34,544700,11.284342
2009-05-01,14.81,15.64,13.27,15.20,599700,12.85772
2009-04-01,16.23,17.99,13.35,14.88,1136300,12.493857
2009-03-02,12.07,16.92,11.13,16.50,859400,13.854075
2009-02-02,14.56,15.98,11.87,12.18,735300,10.226827
2009-01-02,17.60,18.780001,14.03,14.79,841900,12.201805
2008-12-01,13.79,17.76,12.64,17.59,750100,14.511816
2008-11-03,15.77,16.290001,11.30,14.08,675100,11.616053
2008-10-01,15.91,17.040001,12.65,15.76,1148100,12.788593
2008-09-02,15.24,21.51,14.90,16.18,1211800,13.129406
2008-08-01,13.68,15.49,13.15,15.00,1211200,12.171885
2008-07-01,12.53,14.96,11.20,13.54,954900,10.81046
2008-06-02,14.70,15.68,12.68,12.68,714300,10.123829
2008-05-01,15.37,16.200001,14.48,14.75,699700,11.776535
2008-04-01,17.709999,19.00,13.58,15.22,1190800,11.970786
2008-03-03,17.99,19.41,16.50,17.90,671400,14.07865
2008-02-01,20.889999,22.370001,17.809999,17.870001,657600,14.055056
2008-01-02,22.559999,22.75,16.35,20.85,1053600,16.210087
2007-12-03,22.620001,24.889999,21.73,22.66,460200,17.617292
2007-11-01,22.25,23.469999,21.16,22.799999,624700,17.726137
2007-10-01,25.120001,25.799999,22.00,22.51,828400,17.330765
2007-09-04,29.10,29.23,25.16,25.18,509300,19.386436
