Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.950001,17.049999,16.700001,16.860001,118600,12.929311
2013-03-01,17.00,17.379999,16.65,16.92,37200,12.975322
2013-02-01,17.43,17.51,16.60,17.030001,36400,13.059677
2013-01-02,16.690001,17.65,16.50,17.299999,52300,13.266729
2012-12-03,16.459999,16.73,15.96,16.42,55200,12.59189
2012-11-01,16.90,16.950001,14.85,16.450001,56700,12.424109
2012-10-01,17.17,17.370001,16.41,16.879999,46200,12.748872
2012-09-04,16.809999,17.780001,16.719999,17.059999,66000,12.884819
2012-08-01,16.799999,16.99,16.200001,16.84,81800,12.674062
2012-07-02,17.49,17.82,16.33,16.74,48200,12.5988
2012-06-01,16.129999,18.00,15.76,17.48,156400,13.155735
2012-05-01,17.98,18.07,16.02,16.49,152700,12.36692
2012-04-27,18.00,18.049999,17.76,17.98,403200,13.484367
