Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.00,30.07,27.93,29.76,14043000,26.934635
2013-03-01,24.639999,28.67,23.360001,27.969999,3031100,25.314573
2013-02-01,24.290001,27.01,23.459999,25.059999,3658400,22.431953
2013-01-02,25.58,25.870001,22.299999,23.200001,4120100,20.767014
2012-12-03,26.450001,28.35,23.92,25.09,2863400,22.458809
2012-11-01,22.84,28.00,21.41,26.25,3837700,23.497158
2012-10-01,21.42,24.49,21.049999,22.83,2740800,20.247084
2012-09-04,19.85,23.790001,19.83,21.00,3494300,18.624125
2012-08-01,16.040001,19.59,15.32,19.08,4376200,16.921347
2012-07-02,18.440001,18.690001,15.47,16.02,2281000,14.019615
2012-06-01,18.77,19.780001,17.10,18.360001,3732200,16.067425
2012-05-01,22.76,23.08,18.129999,19.18,4157800,16.785032
2012-04-02,21.74,22.790001,20.940001,22.76,3174600,19.761417
2012-03-01,22.889999,25.77,21.82,21.84,4347400,18.962626
2012-02-01,23.440001,25.860001,22.540001,22.780001,3704700,19.778782
2012-01-03,24.43,25.280001,22.65,23.360001,3714800,20.148991
2011-12-01,23.10,24.75,22.639999,24.129999,2488400,20.813147
2011-11-01,24.90,25.889999,21.459999,23.120001,4234200,19.94198
2011-10-03,23.00,26.66,22.16,25.57,3939200,22.055208
2011-09-01,23.84,25.08,21.57,23.10,3252000,19.92473
2011-08-01,23.809999,24.049999,18.34,23.93,5290800,20.64064
2011-07-01,26.709999,27.799999,23.01,23.58,4285800,20.338749
2011-06-01,27.92,28.02,25.65,26.67,3211100,23.004005
2011-05-02,26.16,28.66,24.549999,27.98,4484200,24.133936
2011-04-01,22.68,26.940001,22.469999,25.68,6233800,22.150089
2011-03-01,19.950001,22.780001,19.42,22.52,4212900,19.424456
2011-02-01,21.139999,21.18,19.190001,19.950001,4572900,17.207722
2011-01-03,23.07,23.23,20.110001,21.07,4178500,18.173767
2010-12-01,20.219999,23.00,19.90,22.879999,2993500,19.73497
2010-11-01,19.74,22.129999,19.16,19.92,4153300,17.181845
2010-10-01,19.950001,20.59,17.93,19.65,3868300,16.948957
2010-09-01,18.16,20.200001,18.059999,19.709999,3108900,17.00071
2010-08-02,20.23,21.49,17.700001,17.93,3797500,15.465385
2010-07-01,18.68,21.01,18.24,20.049999,3944400,17.293974
2010-06-01,22.60,22.74,17.959999,18.790001,6415900,16.207172
2010-05-03,24.60,25.309999,20.280001,22.790001,6155800,19.657341
2010-04-01,21.92,25.75,21.92,24.309999,5905600,20.968405
2010-03-01,17.290001,22.299999,17.26,21.91,6190800,18.898304
2010-02-01,19.98,20.57,17.120001,17.200001,5481300,14.83573
2010-01-04,22.07,24.10,19.42,19.77,7772300,17.052464
2009-12-01,24.639999,24.809999,20.690001,21.940001,5440200,18.924181
2009-11-02,24.450001,26.049999,23.440001,24.41,4810100,21.054659
2009-10-01,26.540001,28.620001,23.91,24.290001,5361600,20.951155
2009-09-01,23.65,27.32,22.940001,26.469999,4246900,22.831497
2009-08-03,22.040001,26.66,22.040001,23.799999,6795900,20.528509
2009-07-01,22.26,24.25,20.02,21.889999,4735300,18.881052
2009-06-01,25.17,26.50,20.440001,22.01,5021700,18.984558
2009-05-01,30.10,30.290001,21.85,24.950001,6395500,21.520433
2009-04-01,28.540001,32.82,27.540001,30.16,4192900,26.014278
2009-03-02,26.35,28.959999,21.809999,28.02,5236900,24.168438
2009-02-02,24.51,29.08,24.25,26.92,3608700,23.219641
2009-01-02,21.73,28.23,21.040001,24.780001,4160300,21.3738
2008-12-01,21.65,26.51,18.01,21.66,3135100,18.682669
2008-11-03,27.780001,28.00,16.91,21.85,3415900,18.846552
2008-10-01,33.869999,38.419998,24.09,27.389999,3655600,23.625036
2008-09-02,44.34,46.360001,32.799999,34.209999,3677700,29.507574
2008-08-01,40.889999,47.689999,38.82,43.869999,3122800,37.839733
2008-07-01,40.049999,45.790001,37.619999,40.509998,3405100,34.941589
2008-06-02,49.419998,49.860001,40.27,40.400002,4231200,34.846714
2008-05-01,55.25,57.200001,44.110001,49.599998,3823200,42.782101
2008-04-01,52.73,59.130001,52.73,55.040001,2584100,47.474335
2008-03-03,42.299999,54.75,40.779999,51.709999,3739500,44.602066
2008-02-01,51.849998,54.990002,42.27,42.360001,3350000,36.537296
2008-01-02,62.150002,62.290001,44.759998,51.560001,4307300,44.472687
2007-12-03,58.00,63.77,56.110001,62.110001,3692700,53.57251
2007-11-01,58.75,60.50,47.459999,57.450001,3507100,49.553062
2007-10-01,56.73,60.799999,53.25,59.220001,2284600,51.079762
2007-09-04,50.50,59.23,47.450001,56.349998,2766900,48.604263
2007-08-01,40.23,50.52,37.400002,50.139999,3073400,43.247875
2007-07-02,39.16,44.00,39.110001,40.349998,1882500,34.803585
2007-06-01,37.139999,41.169998,36.209999,39.099998,2068100,33.725407
2007-05-01,33.400002,37.869999,32.310001,36.98,2876500,31.896818
2007-04-02,32.650002,35.849998,32.57,33.169998,1782500,28.610529
2007-03-01,51.299999,54.970001,26.719999,32.57,2181600,28.093006
2007-02-01,53.68,56.169998,51.099998,52.380001,2014500,22.589985
2007-01-03,55.110001,58.41,51.110001,53.43,2626900,23.04282
2006-12-01,55.900002,58.419998,53.880001,55.110001,1990200,23.767355
2006-11-01,51.200001,57.189999,49.009998,56.049999,3394600,24.17275
2006-10-02,46.700001,52.73,45.639999,51.060001,2337200,22.020708
2006-09-01,43.779999,49.75,42.419998,46.279999,3184100,19.95923
2006-08-01,41.50,47.299999,40.09,43.68,2787100,18.837927
2006-07-03,40.470001,42.52,36.150002,41.610001,2840400,17.945194
2006-06-01,42.950001,44.400002,35.869999,42.00,3747700,18.11339
2006-05-01,47.299999,48.509998,41.240002,42.939999,2592600,18.518785
2006-04-03,47.139999,49.68,45.939999,47.200001,1816600,20.356001
2006-03-01,40.040001,47.93,37.259998,47.139999,2115200,20.330124
2006-02-01,40.310001,43.57,39.259998,40.029999,1985300,17.263786
2006-01-03,31.82,41.099998,31.15,40.310001,3520700,17.384542
2005-12-01,33.639999,35.650002,30.200001,31.82,3224300,13.723049
2005-11-01,35.470001,38.189999,33.23,33.639999,3897600,14.507963
2005-10-03,31.76,37.400002,29.950001,35.48,3544100,15.301502
2005-09-01,33.700001,38.41,30.65,31.469999,1912400,13.572104
2005-08-01,34.549999,35.139999,28.60,33.75,1879800,14.555403
2005-07-01,32.709999,36.169998,31.969999,34.349998,1144500,14.814165
2005-06-01,29.200001,34.299999,28.879999,32.709999,1677100,14.10688
2005-05-02,24.700001,31.129999,24.620001,29.16,1454500,12.575868
2005-04-01,22.41,25.700001,20.74,24.610001,1874800,10.613585
2005-03-01,19.60,23.620001,19.40,22.16,1038500,9.55697
2005-02-01,19.049999,20.059999,18.530001,19.41,518400,8.370974
2005-01-03,22.950001,22.950001,18.559999,19.09,1285100,8.232967
2004-12-01,21.190001,22.60,20.450001,22.360001,817900,9.643224
2004-11-01,19.60,23.51,19.60,21.09,1989600,9.09551
2004-10-01,18.540001,20.459999,18.200001,19.59,769000,8.448603
2004-09-01,16.76,18.75,16.76,18.51,346500,7.98283
2004-08-02,15.32,17.620001,14.47,16.76,453500,7.228106
2004-07-01,15.22,15.92,14.37,15.40,458600,6.641576
2004-06-01,15.62,16.280001,14.47,15.22,728800,6.563948
2004-05-03,17.57,18.450001,15.15,15.62,561400,6.736456
2004-04-01,18.00,18.73,17.379999,17.610001,298100,7.594686
2004-03-01,18.65,18.74,16.49,18.02,452500,7.771507
2004-02-02,17.01,18.969999,16.07,18.65,545300,8.043207
2004-01-02,15.80,18.90,15.05,16.60,713500,7.159102
2003-12-01,16.35,16.35,14.13,15.41,580100,6.645889
2003-11-03,16.059999,17.60,15.04,16.15,843400,6.96503
2003-10-01,15.90,19.049999,15.69,16.82,588700,7.253982
2003-09-02,16.75,18.25,15.65,15.90,773200,6.857212
2003-08-01,13.61,16.99,12.52,16.629999,813800,7.17204
2003-07-01,13.05,14.85,12.75,13.60,666300,5.865288
2003-06-02,12.55,14.22,12.46,12.92,814800,5.572024
2003-05-01,11.95,13.88,11.08,12.53,1238700,5.403828
2003-04-01,12.01,13.36,11.85,11.95,511300,5.153691
2003-03-03,10.55,12.50,10.25,12.00,709600,5.175254
2003-02-03,8.60,10.78,7.50,10.50,913000,4.528347
2003-01-02,9.80,10.88,8.50,8.50,1015300,3.665805
2002-12-02,19.00,19.75,8.92,9.80,1675400,4.226458
2002-11-01,17.90,20.950001,16.90,18.60,627300,8.021645
2002-10-01,20.450001,21.00,17.27,17.90,588900,7.719754
2002-09-03,20.799999,22.15,18.43,20.450001,358800,8.819496
2002-08-01,17.40,21.99,13.85,20.799999,521000,8.970441
2002-07-01,20.90,20.99,14.30,17.50,408600,7.547246
2002-06-03,24.190001,24.190001,18.360001,20.99,367600,9.052382
2002-05-01,19.299999,24.299999,19.299999,24.190001,684000,10.43245
2002-04-01,20.049999,20.35,17.77,19.049999,516000,8.215716
2002-03-01,19.049999,21.90,17.00,20.200001,871100,8.711679
2002-02-13,19.25,20.389999,18.75,19.10,3096400,8.23728
