Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.379997,12.460013,12.150002,12.200006,864400,6.562335
2013-03-01,11.739997,12.690009,11.560005,12.359989,623500,6.648389
2013-02-01,11.599989,12.430001,11.330009,11.770009,889100,6.267625
2013-01-02,10.640005,11.830001,10.319988,11.590001,752300,6.171769
2012-12-03,9.11,10.720004,9.039989,10.51,636100,5.59666
2012-11-01,8.59,9.23,8.210008,9.050008,466600,4.767978
2012-10-01,8.440003,8.819996,8.019996,8.59,558600,4.525624
2012-09-04,8.249991,9.399988,8.049992,8.399988,570700,4.425517
2012-08-01,7.650007,8.480003,7.579996,8.280004,545300,4.303419
2012-07-02,8.469999,8.59,7.329991,7.629999,644100,3.965588
2012-06-01,8.299995,8.899996,7.809992,8.43,827100,4.381378
2012-05-01,8.539996,8.71,7.450007,8.55,1077100,4.383983
2012-04-02,9.030001,9.410008,8.469999,8.539996,1181400,4.378853
2012-03-01,8.529992,9.79,8.280004,9.009993,1022900,4.619842
2012-02-01,9.120004,9.91,8.200004,8.440003,871400,4.276335
2012-01-03,8.280004,9.290008,7.770008,9.009993,741200,4.565134
2011-12-01,7.899995,8.720004,7.579996,8.000004,1003800,4.053399
2011-11-01,8.399988,9.120004,7.210007,7.960003,1228300,3.985292
2011-10-03,6.949999,9.15,6.179995,8.899996,986100,4.455914
2011-09-01,8.099996,8.249991,5.930007,7.019995,1440900,3.514663
2011-08-01,11.050009,11.070002,6.800003,8.099996,2224500,3.996356
2011-07-01,12.449994,12.899998,10.190001,10.900012,1046600,5.377821
2011-06-01,13.789986,14.17001,12.219997,12.449994,1204900,6.142548
2011-05-02,12.550001,14.320006,11.750001,14.270001,581200,6.986469
2011-04-01,11.180013,12.740014,10.819997,12.470001,641200,6.105205
2011-03-01,10.379996,11.019997,9.089992,11.019997,600200,5.395295
2011-02-01,9.809993,11.180013,9.649993,10.31,866600,4.999663
2011-01-03,9.760004,10.000005,9.130008,9.75,869100,4.728101
2010-12-01,9.659996,10.560004,9.07,9.649993,1102900,4.679604
2010-11-01,10.210009,10.809993,9.280004,9.399988,537600,4.558368
2010-10-01,9.169992,10.289992,9.000004,10.150001,510100,4.922074
2010-09-01,8.23,9.410008,8.090007,9.050008,627900,4.388651
