Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,60.689999,60.84,60.119999,60.799999,931000,49.546345
2013-03-01,55.599998,61.32,55.599998,61.16,532300,49.839714
2013-02-01,52.380001,56.139999,52.009998,55.700001,556100,45.39032
2013-01-02,45.720001,55.299999,45.720001,52.639999,778500,42.078049
2012-12-03,50.299999,50.68,44.639999,45.41,436400,36.298714
2012-11-01,48.560001,50.91,44.369999,50.259998,398700,40.175583
2012-10-01,47.900002,49.00,47.009998,48.419998,349000,37.883854
2012-09-04,49.34,51.82,47.529999,47.970001,386100,37.531776
2012-08-01,54.549999,54.580002,47.060001,49.419998,393300,38.666256
2012-07-02,51.66,54.68,51.50,54.349998,261800,41.699535
2012-06-01,47.040001,52.369999,45.860001,52.169998,358400,40.026951
2012-05-01,56.450001,58.049999,44.549999,47.52,578600,36.459282
2012-04-02,61.27,61.369999,55.759998,56.450001,419500,42.458813
2012-03-01,60.099998,62.66,59.43,61.18,344000,46.016476
2012-02-01,62.220001,64.360001,58.50,59.799999,668700,44.978508
2012-01-03,64.589996,64.949997,61.740002,62.290001,336000,46.037441
2011-12-01,64.18,65.050003,61.700001,63.98,303000,47.286488
2011-11-01,66.080002,67.639999,62.110001,63.799999,260700,47.153454
2011-10-03,62.279999,68.449997,59.00,67.550003,230800,49.150135
2011-09-01,63.25,64.989998,61.060001,62.509998,192100,45.482971
2011-08-01,63.43,64.00,54.509998,62.98,380000,45.824947
2011-07-01,64.510002,65.239998,61.830002,62.939999,217300,45.036449
2011-06-01,63.580002,64.760002,60.290001,64.559998,297100,46.195633
2011-05-02,65.050003,65.050003,59.849998,63.450001,366800,45.401379
2011-04-01,64.080002,65.199997,59.889999,65.059998,766600,45.816689
2011-03-01,64.959999,65.540001,58.450001,63.540001,323000,44.746273
2011-02-01,64.68,65.599998,62.700001,64.82,305100,45.647675
2011-01-03,67.949997,68.809998,64.00,64.660004,370400,44.849094
2010-12-01,68.620003,68.919998,64.160004,66.830002,107100,46.354237
2010-11-01,63.349998,71.669998,63.279999,68.07,165100,47.214317
2010-10-01,63.650002,65.190002,62.00,63.310001,109700,43.293377
2010-09-01,62.060001,63.50,61.400002,63.50,112500,43.423306
2010-08-02,64.419998,66.00,60.23,61.060001,138000,41.754757
2010-07-01,58.77,63.75,57.189999,63.470001,141900,42.735744
2010-06-01,55.759998,60.650002,53.009998,59.040001,148600,39.75293
