Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.809999,27.98,27.60,27.93,645800,24.931551
2013-03-01,26.83,28.110001,26.629999,27.77,444300,24.788727
2013-02-01,26.280001,27.440001,26.059999,26.92,343300,23.849497
2013-01-02,25.40,26.549999,25.040001,26.139999,334300,23.158464
2012-12-03,24.91,25.76,24.540001,25.08,501400,22.219368
2012-11-01,25.66,25.91,23.91,24.82,398400,21.830893
2012-10-01,24.90,25.85,24.200001,25.68,448800,22.587322
2012-09-04,24.85,26.049999,24.75,24.82,331600,21.830893
2012-08-01,23.99,24.90,23.60,24.90,369700,21.744385
2012-07-02,23.34,24.040001,23.00,23.940001,316000,20.906048
2012-06-01,21.959999,23.200001,21.860001,23.18,379900,20.242363
2012-05-01,23.110001,23.51,21.68,22.370001,410500,19.379564
2012-04-02,22.540001,23.34,21.49,23.18,286000,20.081284
2012-03-01,21.219999,22.940001,21.110001,22.540001,346600,19.526838
2012-02-01,21.18,22.309999,21.10,21.190001,242200,18.212
2012-01-03,20.51,21.26,19.389999,21.02,273700,18.065891
2011-12-01,19.58,20.49,18.77,20.139999,293300,17.309563
2011-11-01,20.42,20.90,18.280001,19.58,331700,16.679417
2011-10-03,18.610001,20.92,17.42,20.719999,390200,17.650536
2011-09-01,21.10,21.51,18.67,18.700001,345500,15.92978
2011-08-01,21.17,21.530001,17.43,21.08,417900,17.794123
2011-07-01,20.35,22.23,20.33,20.99,249200,17.718151
2011-06-01,20.59,21.15,19.18,20.33,290700,17.16103
2011-05-02,20.98,21.129999,19.889999,20.65,268800,17.276815
2011-04-01,19.01,21.129999,18.52,20.85,254700,17.444147
2011-03-01,19.85,19.85,18.16,18.92,254400,15.829412
2011-02-01,18.57,19.84,18.32,19.799999,322300,16.406464
2011-01-03,18.370001,18.73,17.719999,18.48,349400,15.312699
2010-12-01,18.610001,18.860001,17.719999,18.24,378300,15.113833
2010-11-01,19.15,20.040001,18.01,18.26,404500,14.981338
2010-10-01,19.200001,20.17,18.799999,19.08,337500,15.654103
2010-09-01,18.18,19.77,18.02,19.00,238400,15.588468
2010-08-02,18.809999,19.200001,17.059999,17.940001,269100,14.578912
2010-07-01,16.82,18.85,15.87,18.540001,489800,15.066502
2010-06-01,17.709999,19.299999,16.719999,16.82,423600,13.668745
2010-05-03,19.15,19.76,16.219999,17.889999,403200,14.389169
2010-04-01,17.969999,19.799999,17.73,19.08,296300,15.346302
2010-03-01,16.969999,18.40,16.75,17.860001,278700,14.365041
2010-02-01,16.030001,16.940001,14.88,16.73,352600,13.323154
2010-01-04,17.09,17.76,15.63,15.93,265100,12.686065
2009-12-01,16.370001,17.52,15.95,16.870001,295600,13.434647
2009-11-02,15.93,17.690001,15.42,16.27,402400,12.822483
2009-10-01,14.99,17.07,13.31,15.90,419800,12.530884
2009-09-01,15.22,16.51,14.14,15.07,429100,11.876756
2009-08-03,13.88,16.209999,13.50,15.31,338900,11.922356
2009-07-01,13.20,14.76,11.55,13.70,370200,10.6686
2009-06-01,13.66,15.44,12.67,13.05,404100,10.162426
2009-05-01,14.38,14.64,11.96,13.42,520400,10.3088
2009-04-01,10.60,15.36,10.37,14.50,668300,11.13842
2009-03-02,9.82,12.29,8.50,10.61,387900,8.15025
2009-02-02,11.59,12.43,8.63,10.04,402600,7.571805
2009-01-02,14.42,14.69,11.00,11.67,391300,8.801092
2008-12-01,13.66,16.09,11.45,14.27,393000,10.761919
2008-11-03,17.92,18.09,9.04,13.98,492500,9.973712
2008-10-01,24.99,25.23,13.82,18.07,522400,12.891629
2008-09-02,24.18,26.139999,23.00,25.280001,378500,18.03544
2008-08-01,22.82,24.959999,22.280001,23.75,317000,16.800303
2008-07-01,22.91,25.00,21.379999,22.690001,402100,16.05048
2008-06-02,24.73,25.84,22.540001,23.15,278800,16.375874
2008-05-01,26.049999,26.309999,24.219999,24.74,337900,17.345804
2008-04-01,24.58,26.780001,24.190001,25.639999,250600,17.976814
2008-03-03,22.92,25.23,21.90,24.15,326200,16.93214
2008-02-01,25.07,25.50,22.299999,22.91,266300,15.925793
2008-01-02,25.65,26.09,21.17,24.84,287200,17.267424
2007-12-03,26.360001,28.23,24.030001,25.610001,237600,17.802687
2007-11-01,26.26,26.629999,24.049999,26.389999,320200,18.056156
2007-10-01,27.059999,29.00,25.57,26.50,202600,18.13142
2007-09-04,24.91,27.93,23.83,27.129999,264200,18.562468
2007-08-01,22.959999,25.129999,21.709999,24.969999,351100,16.957184
2007-07-02,25.99,26.99,21.190001,23.030001,252000,15.639727
2007-06-01,28.51,28.75,25.43,25.950001,289500,17.622705
2007-05-01,26.90,28.540001,26.35,28.41,287200,19.144886
2007-04-02,26.07,28.18,26.059999,26.879999,206800,18.113852
2007-03-01,26.610001,27.68,25.719999,26.07,378800,17.56801
2007-02-01,25.790001,28.139999,25.709999,27.00,364500,18.057243
2007-01-03,25.00,25.969999,24.120001,25.690001,235900,17.181133
2006-12-01,26.040001,26.40,23.809999,25.02,313700,16.733047
2006-11-01,25.549999,26.860001,24.459999,25.98,219000,17.23382
2006-10-02,25.549999,27.129999,24.60,25.549999,100700,16.94858
2006-09-01,24.700001,26.700001,24.200001,25.50,102000,16.915413
2006-08-01,23.84,24.90,22.700001,24.639999,98600,16.226954
2006-07-03,23.620001,24.59,22.99,23.84,144100,15.700104
2006-06-01,21.440001,23.940001,21.440001,23.65,174500,15.574977
2006-05-01,22.77,23.110001,19.51,21.389999,138300,13.970079
2006-04-03,23.549999,23.57,20.809999,22.57,114500,14.740752
2006-03-01,21.93,24.209999,21.85,23.549999,130400,15.380802
2006-02-01,21.32,22.09,20.620001,21.93,68900,14.206033
2006-01-03,20.10,21.389999,19.790001,21.33,94900,13.817358
2005-12-01,20.58,20.790001,19.41,20.049999,140400,12.988187
2005-11-01,18.879999,20.50,18.610001,20.48,125600,13.143651
2005-10-03,17.99,19.120001,16.51,19.00,114900,12.193817
2005-09-01,17.690001,18.370001,17.50,17.99,78700,11.545619
2005-08-01,19.040001,19.379999,17.379999,17.700001,105900,11.248726
2005-07-01,18.450001,20.129999,18.450001,19.00,111600,12.074903
2005-06-01,16.969999,18.68,16.870001,18.65,107200,11.85247
2005-05-02,16.049999,17.48,15.52,16.950001,306100,10.670584
