Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.310001,52.450001,51.040001,51.50,346400,49.370861
2013-03-01,50.66,53.950001,49.880001,52.380001,185600,50.214481
2013-02-01,50.75,52.630001,49.900002,50.990002,203000,48.881947
2013-01-02,48.700001,50.869999,46.91,50.459999,358300,48.373856
2012-12-03,46.740002,47.82,45.02,47.779999,293300,45.675236
2012-11-01,45.209999,47.049999,42.75,46.380001,255100,44.33691
2012-10-01,44.779999,46.639999,43.669998,45.240002,366300,43.247128
2012-09-04,48.040001,50.259998,43.50,44.630001,427600,42.53492
2012-08-01,48.650002,49.48,46.610001,48.139999,227000,45.880146
2012-07-02,48.330002,49.59,46.439999,48.349998,395400,46.080288
2012-06-01,47.720001,51.41,45.119999,48.16,367100,45.785686
2012-05-01,47.990002,50.25,47.34,48.799999,254100,46.394135
2012-04-02,49.060001,49.740002,46.84,48.029999,343900,45.662098
2012-03-01,50.599998,52.16,45.950001,49.09,304100,46.555546
2012-02-01,51.540001,53.919998,50.439999,50.470001,196700,47.864296
2012-01-03,51.240002,54.220001,49.549999,51.41,293600,48.755764
2011-12-01,48.00,51.310001,47.41,49.990002,632400,47.297222
2011-11-01,46.75,49.369999,43.419998,48.419998,290300,45.81179
2011-10-03,41.119999,49.599998,39.50,48.48,271200,45.868561
2011-09-01,46.470001,47.150002,39.540001,41.380001,417400,39.041931
2011-08-01,44.619999,47.130001,39.130001,46.540001,328100,43.910378
2011-07-01,47.23,48.77,43.200001,44.060001,183600,41.570507
2011-06-01,42.459999,47.509998,39.610001,47.279999,336300,44.510368
2011-05-02,45.290001,45.66,41.209999,42.610001,220400,40.113937
2011-04-01,45.049999,45.740002,42.650002,45.189999,174400,42.542797
2011-03-01,41.419998,45.00,40.240002,44.93,285900,42.200249
2011-02-01,43.529999,44.43,40.23,41.139999,243200,38.640511
2011-01-03,43.32,45.049999,42.200001,43.18,238000,40.556572
2010-12-01,41.599998,44.549999,41.279999,42.889999,188600,40.185223
2010-11-01,39.82,42.200001,38.689999,40.709999,228600,38.1427
2010-10-01,38.900002,40.799999,37.669998,39.66,158100,37.158916
2010-09-01,34.130001,39.23,33.950001,38.630001,203700,36.097466
2010-08-02,38.360001,38.50,33.220001,33.639999,220300,31.434605
2010-07-01,35.450001,38.110001,34.130001,37.52,273300,35.060238
2010-06-01,35.900002,39.369999,33.330002,35.52,370100,33.098522
2010-05-03,38.040001,38.77,32.02,36.259998,253600,33.788074
2010-04-01,34.75,38.73,34.41,37.82,234300,35.241726
2010-03-01,32.759998,35.330002,32.720001,34.490002,189800,32.05069
2010-02-01,32.549999,33.459999,30.41,32.75,175700,30.433752
2010-01-04,32.720001,35.400002,32.200001,32.380001,259900,30.08992
2009-12-01,32.18,33.75,31.549999,32.439999,211700,30.055962
2009-11-02,29.530001,33.779999,28.77,31.870001,246000,29.527853
2009-10-01,31.15,32.240002,29.190001,29.43,241300,27.26717
2009-09-01,31.76,33.110001,30.65,31.360001,290900,28.963243
2009-08-03,33.599998,34.50,31.66,32.060001,199100,29.609745
2009-07-01,29.51,33.779999,27.469999,33.110001,230900,30.579494
2009-06-01,29.139999,31.059999,27.74,29.190001,471900,26.872683
2009-05-01,30.889999,33.040001,27.780001,28.66,428600,26.384758
2009-04-01,24.82,31.99,24.40,31.08,397700,28.61264
2009-03-02,25.60,27.18,23.049999,25.190001,624800,23.114994
2009-02-02,29.92,33.34,25.73,26.360001,424200,24.188616
2009-01-02,33.220001,34.080002,26.440001,30.34,647500,27.840767
2008-12-01,31.50,34.639999,28.17,33.18,463100,30.363407
2008-11-03,35.349998,36.389999,25.030001,32.110001,427000,29.384237
2008-10-01,37.599998,38.540001,27.299999,35.389999,516500,32.385803
2008-09-02,40.439999,43.169998,34.52,37.950001,504900,34.637657
2008-08-01,38.529999,43.00,37.599998,39.93,297100,36.444839
2008-07-01,35.099998,39.48,32.68,38.52,414800,35.157906
2008-06-02,43.23,44.25,34.869999,35.099998,572700,31.962078
